vehicle_id,capacity,lon,lat,kwh_per_100km,kwh_per_100km_per_pax
1,4,-74.0106777712332,40.7516617854861,11.15,0.283
2,4,-74.01148999409826,40.74553992635809,11.15,0.283
3,4,-74.00941070882543,40.74476425219332,11.15,0.283
4,4,-74.01109595599772,40.74782123835097,11.15,0.283
5,4,-74.01093383352756,40.748311625637434,11.15,0.283
6,4,-74.01123240249497,40.744362822401285,11.15,0.283
7,4,-74.00764653460817,40.749701422870025,11.15,0.283
8,4,-74.0071066602511,40.74899777486137,11.15,0.283
9,4,-74.01105634836638,40.74700800895843,11.15,0.283
10,4,-74.00959488295054,40.74588188577718,11.15,0.283
11,4,-74.00735114056239,40.744845132878346,11.15,0.283
12,4,-74.01175917324166,40.744380488627,11.15,0.283
13,4,-74.01072644331377,40.74175891618474,11.15,0.283
14,4,-74.01064289636302,40.74276894718741,11.15,0.283
15,4,-74.01198548448342,40.74268503522643,11.15,0.283
16,4,-74.00943089751571,40.74280859585077,11.15,0.283
17,4,-74.00907973052912,40.74542846947167,11.15,0.283
18,4,-74.00623704028727,40.74464268247243,11.15,0.283
19,4,-74.00756256503877,40.745065752007946,11.15,0.283
20,4,-74.0083561513283,40.74262058202898,11.15,0.283
21,4,-74.00780436038619,40.73793624930128,11.15,0.283
22,4,-74.0069356154034,40.73994501991031,11.15,0.283
23,4,-74.00731428903663,40.74042231377374,11.15,0.283
24,4,-74.00630303394972,40.73263556832804,11.15,0.283
25,4,-74.00954443201036,40.74116112562791,11.15,0.283
26,4,-74.00857247113089,40.739399086463145,11.15,0.283
27,4,-74.01037598179286,40.73956575334797,11.15,0.283
28,4,-74.00874034825387,40.73286414876519,11.15,0.283
29,4,-74.0103213305535,40.732571162576086,11.15,0.283
30,4,-74.00663663014195,40.73426058136985,11.15,0.283
31,4,-74.007969426869,40.74011534763149,11.15,0.283
32,4,-74.00784595714623,40.73351780108006,11.15,0.283
33,4,-74.00674377946402,40.737384280133554,11.15,0.283
34,4,-74.00870514612436,40.7382881308429,11.15,0.283
35,4,-74.01059617487593,40.73463828820137,11.15,0.283
36,4,-74.01063079904151,40.737530020589645,11.15,0.283
37,4,-74.00917300778703,40.73403032023266,11.15,0.283
38,4,-74.0067991835571,40.73588027351987,11.15,0.283
39,4,-74.01081795962848,40.73412783375073,11.15,0.283
40,4,-74.00996858660994,40.73260521723443,11.15,0.283
41,4,-74.00834509368397,40.74059424543906,11.15,0.283
42,4,-74.00664375052837,40.73908596441015,11.15,0.283
43,4,-74.01104344319569,40.732542934393045,11.15,0.283
44,4,-74.00718495369851,40.73607477179201,11.15,0.283
45,4,-74.00740276245426,40.7364831337727,11.15,0.283
46,4,-74.00984329250248,40.73596559318645,11.15,0.283
47,4,-74.01010069464824,40.7324254347077,11.15,0.283
48,4,-74.01057963323701,40.73928473454077,11.15,0.283
49,4,-74.00701898539954,40.73970716546865,11.15,0.283
50,4,-74.006812031825,40.73921723015479,11.15,0.283
51,4,-74.00654060541203,40.73652350657909,11.15,0.283
52,4,-74.0069030140501,40.73832802008262,11.15,0.283
53,4,-74.0069513225666,40.740125630102185,11.15,0.283
54,4,-74.00904057202817,40.733926949252854,11.15,0.283
55,4,-74.00880407262026,40.737103178586324,11.15,0.283
56,4,-74.0078056024479,40.736189283172735,11.15,0.283
57,4,-74.00996451986477,40.73854101729637,11.15,0.283
58,4,-74.00934536440818,40.73338955634173,11.15,0.283
59,4,-74.0072314431222,40.73324056677163,11.15,0.283
60,4,-74.01067486053876,40.73496247306894,11.15,0.283
61,4,-74.01008696650705,40.736096675111625,11.15,0.283
62,4,-74.00679833454977,40.73939658018663,11.15,0.283
63,4,-74.0069962239016,40.74039084790987,11.15,0.283
64,4,-74.0074928553914,40.733901670721686,11.15,0.283
65,4,-74.01089311220234,40.73378682582122,11.15,0.283
66,4,-74.00697487715122,40.7330474815461,11.15,0.283
67,4,-74.01112631247912,40.7389338909994,11.15,0.283
68,4,-74.00874594657007,40.73468373229522,11.15,0.283
69,4,-74.01110142627034,40.740851943467206,11.15,0.283
70,4,-74.0077518448734,40.737543105205816,11.15,0.283
71,4,-74.00988655681086,40.73433179666328,11.15,0.283
72,4,-74.00895092046731,40.73670657714742,11.15,0.283
73,4,-74.00982970441522,40.736778764694826,11.15,0.283
74,4,-74.01033038649155,40.73618956414618,11.15,0.283
75,4,-74.00685111776718,40.739675284994426,11.15,0.283
76,4,-74.00747839152568,40.73808434711554,11.15,0.283
77,4,-74.01058838301613,40.739724503599426,11.15,0.283
78,4,-74.00705074866744,40.73346031030005,11.15,0.283
79,4,-74.00746344848831,40.73289038196843,11.15,0.283
80,4,-74.00842799023341,40.73292914523508,11.15,0.283
81,4,-74.01045362232195,40.732930522175174,11.15,0.283
82,4,-74.00832716959509,40.73804884569303,11.15,0.283
83,4,-74.00915052524178,40.7406830428518,11.15,0.283
84,4,-74.00987452052976,40.737301154732,11.15,0.283
85,4,-74.00640570433228,40.736377737580874,11.15,0.283
86,4,-74.01070929155759,40.73975394042205,11.15,0.283
87,4,-74.00769687517341,40.73622737903074,11.15,0.283
88,4,-74.00963739665649,40.7401207785051,11.15,0.283
89,4,-74.00926756952727,40.73337283873088,11.15,0.283
90,4,-74.00881494931438,40.738313655932686,11.15,0.283
91,4,-74.00723736402817,40.73749161088455,11.15,0.283
92,4,-74.00863543509634,40.72470698907537,11.15,0.283
93,4,-74.0090138075276,40.72936743949602,11.15,0.283
94,4,-74.00997338424294,40.7240770584024,11.15,0.283
95,4,-74.0110240608758,40.726583865447445,11.15,0.283
96,4,-74.00865720020285,40.728245301910775,11.15,0.283
97,4,-74.01027940957238,40.72355220460278,11.15,0.283
98,4,-74.00686873747624,40.73111057558991,11.15,0.283
99,4,-74.00993348378532,40.732235561055965,11.15,0.283
